price_inr,date,price_thb
39999,2024-03-21 06:44:00,17599.56
39999,2024-04-17 23:18:45,17599.56
39999,2024-04-30 04:05:05,17599.56
39999,2024-05-02 13:40:23,17599.56
39999,2024-05-03 17:57:24,17599.56
39999,2024-05-04 00:06:00,17599.56
39999,2024-05-05 09:54:00,17599.56
39999,2024-05-08 05:52:00,17599.56
39999,2024-05-09 09:40:38,17599.56
39999,2024-05-16 20:16:00,17599.56
39999,2024-05-18 00:12:00,17599.56
39999,2024-05-19 12:58:00,17599.56
39999,2024-06-10 21:53:09,17599.56
35200,2024-06-14 17:12:25,15488.0
37999,2024-06-20 12:21:38,16719.56
35149,2024-06-29 08:54:31,15465.56
35950,2024-06-30 23:26:34,15818.0
35799,2024-07-19 12:59:58,15751.56
42999,2024-07-24 06:52:17,18919.56
36999,2024-08-01 05:35:54,16279.56
35990,2024-08-12 11:25:26,15835.6
36235,2024-08-16 11:59:14,15943.4
39999,2024-08-27 22:35:28,17599.56
34699,2024-08-29 11:45:11,15267.56
34699,2024-08-30 00:37:01,15267.56
39999,2024-09-05 09:47:16,17599.56
39999,2024-09-08 00:56:28,17599.56
39999,2024-09-12 11:36:18,17599.56
39999,2024-09-13 07:54:43,17599.56
39999,2024-09-14 04:10:06,17599.56
39999,2024-09-15 00:41:08,17599.56
39999,2024-09-16 08:46:47,17599.56
39999,2024-09-17 08:06:12,17599.56
39999,2024-09-18 00:43:29,17599.56
39999,2024-09-19 12:13:35,17599.56
39999,2024-09-20 09:28:22,17599.56
39999,2024-09-21 01:10:04,17599.56
39999,2024-09-22 06:57:00,17599.56
39999,2024-09-23 12:07:32,17599.56
39999,2024-09-24 09:16:11,17599.56
39999,2024-09-25 00:19:06,17599.56
39999,2024-09-26 08:06:22,17599.56
39999,2024-09-27 09:49:50,17599.56
39999,2024-09-30 11:04:36,17599.56
39999,2024-10-05 22:38:52,17599.56
39999,2024-10-10 05:06:05,17599.56
39999,2024-10-13 23:56:54,17599.56
39999,2024-10-15 05:57:29,17599.56
39999,2024-10-18 06:12:07,17599.56
39999,2024-10-21 07:16:57,17599.56
39999,2024-10-23 18:23:20,17599.56
39959,2024-10-24 11:09:00,17581.96
39999,2024-10-25 04:13:40,17599.56
39999,2024-10-26 00:57:21,17599.56
39999,2024-10-27 01:40:45,17599.56
32399,2024-10-28 13:20:38,14255.56
33999,2024-10-29 12:22:42,14959.56
33999,2024-10-30 00:03:41,14959.56
33999,2024-10-31 07:55:32,14959.56
33999,2024-11-01 09:41:29,14959.56
33999,2024-11-02 14:59:44,14959.56
33999,2024-11-03 03:29:49,14959.56
33999,2024-11-04 07:19:17,14959.56
33999,2024-11-05 03:06:14,14959.56
33999,2024-11-06 08:41:06,14959.56
33999,2024-11-07 09:39:36,14959.56
33999,2024-11-08 10:17:27,14959.56
33999,2024-11-09 13:08:00,14959.56
33999,2024-11-10 11:36:01,14959.56
39999,2024-11-11 08:06:17,17599.56
39999,2024-11-12 02:11:25,17599.56
39999,2024-11-13 07:23:15,17599.56
39999,2024-11-14 11:39:16,17599.56
39999,2024-11-15 10:20:12,17599.56
39999,2024-11-16 06:46:01,17599.56
39999,2024-11-17 10:22:38,17599.56
32490,2024-11-18 21:06:23,14295.6
32490,2024-11-19 00:40:10,14295.6
32490,2024-11-20 01:04:46,14295.6
39999,2024-11-21 09:32:56,17599.56
32490,2024-11-22 16:50:25,14295.6
39999,2024-11-23 01:51:15,17599.56
39999,2024-11-24 00:57:21,17599.56
31950,2024-11-25 12:50:45,14058.0
36999,2024-11-26 15:19:39,16279.56
36499,2024-11-27 22:07:23,16059.56
36499,2024-11-28 21:13:43,16059.56
36499,2024-11-29 11:00:41,16059.56
36499,2024-11-30 10:22:05,16059.56
36499,2024-12-01 00:55:44,16059.56
35999,2024-12-02 10:44:55,15839.56
35999,2024-12-03 01:06:33,15839.56
33999,2024-12-04 11:01:40,14959.56
33899,2024-12-05 15:40:35,14915.56
35999,2024-12-06 13:41:39,15839.56
33999,2024-12-07 00:04:13,14959.56
35999,2024-12-08 02:58:54,15839.56
35999,2024-12-09 14:09:45,15839.56
36499,2024-12-11 20:53:04,16059.56
36499,2024-12-12 04:24:06,16059.56
32899,2024-12-13 18:02:14,14475.56
32499,2024-12-14 22:34:49,14299.56
32399,2024-12-15 16:05:27,14255.56
32399,2024-12-16 16:10:46,14255.56
32399,2024-12-17 21:05:15,14255.56
36499,2024-12-24 03:14:53,16059.56
35999,2025-01-02 02:53:32,15839.56
33999,2025-01-08 13:32:06,14959.56
32998,2025-01-13 15:42:16,14519.12
32699,2025-01-14 15:04:25,14387.56
38999,2025-01-19 13:20:11,17159.56
39999,2025-01-23 17:26:11,17599.56
33999,2025-01-29 15:48:56,14959.56
33999,2025-02-01 19:44:03,14959.56
33999,2025-02-02 16:19:44,14959.56
33999,2025-02-03 20:05:20,14959.56
33999,2025-02-05 07:52:47,14959.56
33999,2025-02-07 15:02:34,14959.56
33999,2025-02-08 11:37:05,14959.56
33999,2025-02-13 07:22:00,14959.56
33999,2025-02-14 09:38:31,14959.56
33999,2025-02-16 21:26:41,14959.56
33999,2025-02-18 04:11:18,14959.56
33999,2025-02-20 13:59:57,14959.56
33999,2025-02-23 10:20:26,14959.56
33999,2025-02-24 11:19:41,14959.56
33999,2025-02-25 20:21:44,14959.56
33999,2025-03-01 04:01:28,14959.56
33999,2025-03-02 11:58:51,14959.56
33999,2025-03-03 10:58:39,14959.56
33999,2025-03-04 13:02:12,14959.56
33999,2025-03-05 11:29:40,14959.56
33999,2025-03-06 17:06:19,14959.56
33999,2025-03-07 20:50:43,14959.56
33999,2025-03-08 17:51:43,14959.56
33999,2025-03-09 09:41:19,14959.56
33999,2025-03-10 10:23:57,14959.56
33999,2025-03-11 13:52:03,14959.56
33999,2025-03-13 10:52:50,14959.56
33999,2025-03-14 13:57:11,14959.56
33999,2025-03-15 18:06:32,14959.56
33999,2025-03-16 11:50:46,14959.56
33999,2025-03-17 03:20:49,14959.56
33999,2025-03-18 15:35:38,14959.56
33999,2025-03-19 01:55:03,14959.56
33999,2025-03-21 09:19:53,14959.56
33999,2025-03-22 15:17:58,14959.56
33999,2025-03-23 08:55:27,14959.56
33999,2025-03-24 01:43:17,14959.56
33999,2025-03-25 09:21:15,14959.56
33499,2025-03-26 11:25:18,14739.56
33499,2025-03-27 08:10:52,14739.56
32999,2025-03-28 23:06:46,14519.56
32970,2025-03-29 21:45:56,14506.8
32899,2025-03-30 17:43:20,14475.56
32990,2025-03-31 15:24:01,14515.6
32990,2025-04-01 02:54:36,14515.6
33490,2025-04-02 10:36:30,14735.6
32990,2025-04-03 08:16:09,14515.6
33999,2025-04-04 10:43:26,14959.56
33999,2025-04-05 16:27:15,14959.56
33999,2025-04-06 03:06:35,14959.56
33999,2025-04-07 09:57:34,14959.56
33999,2025-04-08 18:14:34,14959.56
33999,2025-04-09 12:36:14,14959.56
32999,2025-04-11 21:02:25,14519.56
32999,2025-04-13 10:18:46,14519.56
33490,2025-04-14 15:07:27,14735.6
32999,2025-04-17 21:16:02,14519.56
32999,2025-04-18 14:38:48,14519.56
33499,2025-04-19 04:49:56,14739.56
33499,2025-04-20 03:02:17,14739.56
33499,2025-04-21 02:40:34,14739.56
33499,2025-04-22 15:10:02,14739.56
33499,2025-04-23 03:00:41,14739.56
31999,2025-04-25 14:22:24,14079.56
31999,2025-04-26 12:40:02,14079.56
31999,2025-04-27 12:26:39,14079.56
27999,2025-04-28 23:29:16,12319.56
27990,2025-04-29 19:26:47,12315.6
27990,2025-04-30 00:02:27,12315.6
26998,2025-05-01 06:48:39,11879.12
26890,2025-05-02 15:52:05,11831.6
26890,2025-05-03 00:00:52,11831.6
26890,2025-05-04 00:03:09,11831.6
26890,2025-05-05 00:14:51,11831.6
26890,2025-05-06 00:16:35,11831.6
26890,2025-05-07 00:59:34,11831.6
26890,2025-05-08 01:05:18,11831.6
26890,2025-05-09 00:16:21,11831.6
26890,2025-05-10 00:21:02,11831.6
26890,2025-05-11 07:29:06,11831.6
26890,2025-05-12 05:11:00,11831.6
29999,2025-05-13 02:49:47,13199.56
26999,2025-05-14 00:01:15,11879.56
26999,2025-05-15 00:19:44,11879.56
27999,2025-05-16 00:47:55,12319.56
25999,2025-05-17 01:13:29,11439.56
25999,2025-05-18 00:31:15,11439.56
25999,2025-05-19 01:43:06,11439.56
25999,2025-05-20 00:05:33,11439.56
25999,2025-05-21 17:51:18,11439.56
25999,2025-05-22 07:21:48,11439.56
25999,2025-05-23 01:00:05,11439.56
25999,2025-05-24 00:11:18,11439.56
25999,2025-05-25 07:03:54,11439.56
27999,2025-05-26 00:16:18,12319.56
27999,2025-05-27 11:55:45,12319.56
29999,2025-05-28 00:51:20,13199.56
26890,2025-05-29 18:58:19,11831.6
29999,2025-05-30 01:13:57,13199.56
25999,2025-05-31 21:58:39,11439.56
25999,2025-06-01 00:00:32,11439.56
25999,2025-06-02 14:23:40,11439.56
25999,2025-06-03 00:08:57,11439.56
25999,2025-06-04 18:18:34,11439.56
25999,2025-06-05 00:24:34,11439.56
25999,2025-06-06 00:03:56,11439.56
25999,2025-06-07 02:02:23,11439.56
25999,2025-06-08 00:35:21,11439.56
25999,2025-06-09 08:24:30,11439.56
25999,2025-06-10 06:39:28,11439.56
25999,2025-06-11 01:23:02,11439.56
25999,2025-06-12 00:47:21,11439.56
25999,2025-06-13 00:24:59,11439.56
25999,2025-06-14 08:18:12,11439.56
25999,2025-06-15 13:50:05,11439.56
25999,2025-06-16 14:36:34,11439.56
25999,2025-06-17 00:56:26,11439.56
25999,2025-06-18 03:13:26,11439.56
25999,2025-06-19 10:57:02,11439.56
25999,2025-06-20 00:18:03,11439.56
26499,2025-06-21 07:14:19,11659.56
26499,2025-06-22 10:58:53,11659.56
26499,2025-06-23 09:22:20,11659.56
26999,2025-06-24 05:40:05,11879.56
26999,2025-06-25 00:35:19,11879.56
25999,2025-06-26 19:53:34,11439.56
25999,2025-06-27 00:09:45,11439.56
25999,2025-06-28 00:29:09,11439.56
25999,2025-06-29 04:01:09,11439.56
25999,2025-06-30 12:04:44,11439.56
25999,2025-07-01 20:19:29,11439.56
25999,2025-07-02 13:19:17,11439.56
25999,2025-07-03 05:45:40,11439.56
25999,2025-07-04 00:59:50,11439.56
29999,2025-07-05 05:33:48,13199.56
29999,2025-07-06 12:36:13,13199.56
29999,2025-07-07 01:34:41,13199.56
27999,2025-07-08 00:19:59,12319.56
27999,2025-07-09 08:48:14,12319.56
24999,2025-07-10 01:02:48,10999.56
24999,2025-07-11 00:05:25,10999.56
24999,2025-07-12 00:05:08,10999.56
24999,2025-07-13 00:25:48,10999.56
24999,2025-07-14 00:52:48,10999.56
26999,2025-07-15 18:35:05,11879.56
